algo;n;ms
Chazelle;3700;443.99
Chazelle;3800;505.482
Chazelle;3900;544.343
Chazelle;4000;514.82
Chazelle;4100;533.38
Chazelle;4200;565.105
Chazelle;4300;627.389
Chazelle;4400;653.574
Chazelle;4500;700.912
Chazelle;4600;830.47
Chazelle;4700;862.841
Chazelle;4800;933.496
Chazelle;4900;935.844
Chazelle;5000;1046.34
