algo;n;ms
Karger;3500;19.823
Karger;3600;20.9211
Karger;3700;21.0744
Karger;3800;20.6708
Karger;3900;21.5059
Karger;4000;23.5053
Karger;4100;23.7203
Karger;4200;24.8234
Karger;4300;25.8173
Karger;4400;32.0045
Karger;4500;31.2824
Karger;4600;32.1159
Karger;4700;32.1999
Karger;4800;32.81
Karger;4900;35.0015
Karger;5000;37.2828
Karger;5100;35.671
Karger;5200;38.269
Karger;5300;42.1467
Karger;5400;40.1216
Karger;5500;41.8334
Karger;5600;41.9712
Karger;5700;43.9861
Karger;5800;46.2579
Karger;5900;47.666
Karger;6000;48.6342
Karger;6100;49.4453
Karger;6200;50.7403
Karger;6300;50.2338
Karger;6400;51.064
Karger;6500;53.5787
Karger;6600;57.1069
Karger;6700;56.3282
Karger;6800;57.6327
Karger;6900;62.8642
Karger;7000;62.3099
Karger;7100;60.4491
Karger;7200;60.5599
Karger;7300;61.9672
Karger;7400;62.9349
Karger;7500;64.319
Karger;7600;65.7711
Karger;7700;66.7159
Karger;7800;68.3667
Karger;7900;68.9084
Karger;8000;70.5212
Karger;8100;78.2636
Karger;8200;79.8744
Karger;8300;80.5589
Karger;8400;85.3234
Karger;8500;91.5343
Karger;8600;93.8006
Karger;8700;89.6202
Karger;8800;92.9308
Karger;8900;103.571
Karger;9000;97.5209
Karger;9100;102.784
Karger;9200;99.4809
Karger;9300;105.294
Karger;9400;109.971
Karger;9500;111.5
Karger;9600;111.292
Karger;9700;115.958
Karger;9800;115.878
Karger;9900;119.603
Karger;10000;130.788
FredmanTarjan;100;0.649274
FredmanTarjan;200;1.44045
FredmanTarjan;300;2.4637
FredmanTarjan;400;3.47952
FredmanTarjan;500;4.35417
FredmanTarjan;600;6.16372
FredmanTarjan;700;8.17662
FredmanTarjan;800;8.27496
FredmanTarjan;900;9.53402
FredmanTarjan;1000;10.4643
FredmanTarjan;1100;11.4649
FredmanTarjan;1200;12.2027
FredmanTarjan;1300;13.1698
FredmanTarjan;1400;14.7939
FredmanTarjan;1500;15.6272
FredmanTarjan;1600;16.9097
FredmanTarjan;1700;17.7249
FredmanTarjan;1800;18.6052
FredmanTarjan;1900;21.6913
FredmanTarjan;2000;24.9714
FredmanTarjan;2100;24.1596
FredmanTarjan;2200;25.2534
FredmanTarjan;2300;25.9397
FredmanTarjan;2400;27.2525
FredmanTarjan;2500;30.0894
FredmanTarjan;2600;30.1136
FredmanTarjan;2700;31.5901
FredmanTarjan;2800;34.5572
FredmanTarjan;2900;35.3465
FredmanTarjan;3000;38.6853
FredmanTarjan;3100;38.5117
FredmanTarjan;3200;38.2921
FredmanTarjan;3300;38.9729
FredmanTarjan;3400;40.487
FredmanTarjan;3500;41.7699
FredmanTarjan;3600;43.4523
FredmanTarjan;3700;44.6082
FredmanTarjan;3800;46.0519
FredmanTarjan;3900;47.5674
FredmanTarjan;4000;49.0578
FredmanTarjan;4100;50.799
FredmanTarjan;4200;52.3047
FredmanTarjan;4300;53.4782
FredmanTarjan;4400;54.7234
FredmanTarjan;4500;56.3918
FredmanTarjan;4600;64.9882
FredmanTarjan;4700;60.1466
FredmanTarjan;4800;72.9859
FredmanTarjan;4900;65.4763
FredmanTarjan;5000;63.3456
FredmanTarjan;5100;64.2176
FredmanTarjan;5200;65.7721
FredmanTarjan;5300;67.281
FredmanTarjan;5400;68.6317
FredmanTarjan;5500;70.0914
FredmanTarjan;5600;71.8143
FredmanTarjan;5700;73.2552
FredmanTarjan;5800;74.7176
FredmanTarjan;5900;76.0012
FredmanTarjan;6000;77.8703
FredmanTarjan;6100;79.0576
FredmanTarjan;6200;81.0978
FredmanTarjan;6300;82.766
FredmanTarjan;6400;86.7045
FredmanTarjan;6500;90.0481
FredmanTarjan;6600;98.2371
FredmanTarjan;6700;92.02
FredmanTarjan;6800;90.5616
FredmanTarjan;6900;91.929
FredmanTarjan;7000;95.0462
FredmanTarjan;7100;95.6115
FredmanTarjan;7200;96.5055
FredmanTarjan;7300;104.865
FredmanTarjan;7400;100.748
FredmanTarjan;7500;104.858
FredmanTarjan;7600;104.912
FredmanTarjan;7700;105.865
FredmanTarjan;7800;107.976
FredmanTarjan;7900;108.672
FredmanTarjan;8000;110.905
